post_title,post_content,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,post_tel,post_email,post_website,toilets,shower,bbq,drinking_water,power_supply,sanitary_dump_station,dogs,tents,caravans
Fish Basket Camping Area,Parks Victoria,,,,Australia,,-35.8298093,145.1030552,,,,no,,,,,,,,
Red Tank Lagoon Camping Area 2,Parks Victoria,,,,Australia,,-35.8288612,145.099504,,,,no,,,,,,,,
Red Tank Lagoon Camping Area 1,Parks Victoria,,,,Australia,,-35.8331929,145.0959635,,,,no,,,,,,,,
Sapling Landing Camping Area,Parks Victoria,,,,Australia,,-35.835324,145.0935924,,,,no,,,,,,,,
Punt Paddock Creek Camping Area 2,Parks Victoria,,,,Australia,,-35.8317012,145.088802,,,,no,,,,,,,,
Punt Paddock Creek Camping Area 1,Parks Victoria,,,,Australia,,-35.8266386,145.0870156,,,,no,,,,,,,,
Green Engine Camping Area 2,Parks Victoria,,,,Australia,,-35.8276607,145.0788403,,,,no,,,,,,,,
Green Engine Camping Area 1,Parks Victoria,,,,Australia,,-35.8322883,145.0767267,,,,no,,,,,,,,
Long Landing Camping Area,Parks Victoria,,,,Australia,,-35.8401533,145.0673309,,,,no,,,,,,,,
Big Woodcutter Lagoon Camping Area 3,Parks Victoria,,,,Australia,,-35.8372527,145.0617278,,,,no,,,,,,,,
Big Woodcutter Lagoon Camping Area 2,Parks Victoria,,,,Australia,,-35.8368569,145.0558779,,,,no,,,,,,,,
Big Woodcutter Lagoon Camping Area 1,Parks Victoria,,,,Australia,,-35.8387204,145.0537294,,,,no,,,,,,,,
Nine Panel Bend Camping Area 2,Parks Victoria,,,,Australia,,-35.8379529,145.0491777,,,,no,,,,,,,,
Nine Panel Bend Camping Area 1,Parks Victoria,,,,Australia,,-35.8400207,145.0440091,,,,no,,,,,,,,
Nestrons Bend Camping Area,Parks Victoria,,,,Australia,,-35.8430517,145.0411498,,,,no,,,,,,,,
Campbells Landing Camping Area,Parks Victoria,,,,Australia,,-35.8447432,145.0383872,,,,no,,,,,,,,
Canalla Landing Camping Area,Parks Victoria,,,,Australia,,-35.846987,145.0364774,,,,no,,,,,,,,
Thistle Bend Camping Area,Parks Victoria,,,,Australia,,-35.849222,145.0319123,,,,no,,,,,,,,
Boals Creek Camping Area 2,Parks Victoria,,,,Australia,,-35.8531657,145.023914,,,,no,,,,,,,,
Boals Creek Camping Area 1,Parks Victoria,,,,Australia,,-35.8536005,145.0232434,,,,no,,,,,,,,
Thistle Bed Camping Area 3,Parks Victoria,,,,Australia,,-35.8561962,145.0205666,,,,no,,,,,,,,
Thistle Bed Camping Area 2,Parks Victoria,,,,Australia,,-35.8568701,145.0187856,,,,no,,,,,,,,
Thistle Bed Camping Area 1,Parks Victoria,,,,Australia,,-35.8571222,145.0174499,,,,no,,,,,,,,
Budgee Creek Camping Area 1,Parks Victoria,,,,Australia,,-35.8554179,145.0051171,,,,no,,,,,,,,
Budgee Creek Camping Area 2,Parks Victoria,,,,Australia,,-35.8564179,145.0073165,,,,no,,,,,,,,
Cutting Creek Camping Area,Parks Victoria,,,,Australia,,-35.9145277,144.9561265,,,,no,,,,,,,,
War Creek Camping Area,Parks Victoria,,,,Australia,,-35.912326,144.960984,,,,no,,,,,,,,
Double Holes Camping Area,Parks Victoria,,,,Australia,,-35.8695472,144.9694812,,,,no,,,,,,,,
Tarragon Lodge Camping Area,Parks Victoria,,,,Australia,,-35.860033,144.9817389,,,,no,,,,,,,,
Wasers Beach,Parks Victoria,,,,Australia,,-35.8603569,145.3490782,,,,no,,,,,,,,
2th Downstream of Wasers Beach,Parks Victoria,,,,Australia,,-35.8626307,145.3444701,,,,no,,,,,,,,
3th Downstream of Wasers Beach,Parks Victoria,,,,Australia,,-35.8628915,145.3420722,,,,no,,,,,,,,
4th Downstream of Wasers Beach,Parks Victoria,,,,Australia,,-35.8612134,145.339036,,,,no,,,,,,,,
5th Downstream of Wasers Beach,Parks Victoria,,,,Australia,,-35.8605352,145.3359568,,,,no,,,,,,,,
6th Downstream of Wasers Beach,Parks Victoria,,,,Australia,,-35.8544875,145.3292727,,,,no,,,,,,,,
7th Downstream of Wasers Beach,Parks Victoria,,,,Australia,,-35.8550962,145.3225565,,,,no,,,,,,,,
8th Downstream of Wasers Beach,Parks Victoria,,,,Australia,,-35.8547657,145.3191233,,,,no,,,,,,,,
The Steps Camping Area,Parks Victoria,,,,Australia,,-35.8599004,145.3101915,,,,no,,,,,,,,
Browns Camping Area 3,Parks Victoria,,,,Australia,,-35.8596939,145.3047144,,,,no,,,,,,,,
Browns Camping Area 1,Parks Victoria,,,,Australia,,-35.8588418,145.2928457,,,,no,,,,,,,,
Clarkes Camping Area,Parks Victoria,,,,Australia,,-35.8569201,145.2843538,,,,no,,,,,,,,
McLeans Camping Area 2,Parks Victoria,,,,Australia,,-35.850933,145.2846757,,,,no,,,,,,,,
McLeans Camping Area 1,Parks Victoria,,,,Australia,,-35.8540114,145.2810788,,,,no,,,,,,,,
