post_title,post_content,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,post_tel,post_email,post_website,toilets,shower,bbq,drinking_water,power_supply,sanitary_dump_station,dogs,tents,caravans
Canoona Rest Area,,,,,Australia,,-23.0339878,150.263544,,,,yes,no,,,,,,,yes
Unknown,,,,,Australia,,-34.2185376,140.3752024,,,,,,,,,,,,
Elouera Girl Guide Campsite,,,,,Australia,,-24.8031248,152.4418244,,,,,,,,,,,,
Unknown,,,,,Australia,,-37.4601207,144.4279274,,,,,,,,,,,,
Camp Rock,,,,,Australia,,-35.2051342,150.2231922,,,,,,,,,,,,
Douglas River Camping,Self contained camping,,,,Australia,,-41.7812405,148.2692784,,,,,no,,,no,no,,,yes
Unknown,,,,,Australia,,-27.9255492,151.9137148,,,,,,,,,,,,
Redbanks,,,,,Australia,,-33.8934329,136.6144096,,,,,,,,,,,,
Duck Lagoon,,,,,Australia,,-35.706257,137.4932633,,,,,,,,,,,,
Coburns Pines,,,,,Australia,,-35.3974344,141.0715353,,,,,,,,,,,,
Red Gums,,,,,Australia,,-35.4158245,141.1023163,,,,,,,,,,,,
Cactus Bore,,,,,Australia,,-35.4538285,141.161738,,,,,,,,,,,,
White Springs,,,,,Australia,,-35.3952634,141.4890861,,,,,,,,,,,,
Brushcutters Flat,,,,,Australia,,-35.4928061,141.4521944,,,,,,,,,,,,
Big Billy,,,,,Australia,,-35.5156369,141.3204336,,,,,,,,,,,,
Unknown,,,,,Australia,,-35.512004,141.32303,,,,,,,,,,,,
Brambles Green,,,,,Australia,,-32.565578,152.2819335,,,,,,,,,,,,
Tattersall's Camping Area,,,,,Australia,,-32.6060745,151.9461701,,,,,,,,,,,,
Unknown,,,,,Australia,,-36.3264089,148.4142552,,,,,,,,,,,,
Unknown,,,,,Australia,,-36.3510719,148.4143171,,,,,,,,,,,,
Stockyard Camp Ground,,,,,Australia,,-34.2914858,142.2930563,,,,,,,,,,,,
Tjingkulatjatjarra Pool,,,,,Australia,,-22.5038745,122.0765452,,,,,,,,,,,,
Desert Queen Bath,,,,,Australia,,-22.4635805,122.2611035,,,,,,,,,,,,
Fig Tree Yard,,,,,Australia,,-16.239377,130.4230933,,,,,,,,,,,,
Unknown,,,,,Australia,,-25.11034,152.56721,,,,,,,,,,,,
